DrugBank ID,UniProt ID,Rank - balanced,Score - balanced,Rank - non balanced,Score - non balanced
DB04115,P50052,903,0.1783,726,0.1694
DB00544,Q96SL4,1177,0.2019,1425,0.1344
DB01586,Q14541,77,0.6929,74,0.8229
DB02893,Q9NWZ5,1424,0.2406,1476,0.1694
DB09121,Q9Y617,749,0.3878,491,0.3982
DB00993,Q9HBH1,2070,0.1431,2182,0.0867
DB00710,P00918,2368,0.0577,2364,0.0421
DB08883,P28222,2428,0.0728,793,0.1485
DB00946,Q9BYC2,994,0.1876,888,0.1508
DB00492,P52597,755,0.2255,448,0.2082
DB00296,P48058,351,0.2731,232,0.3261
DB04865,Q07020,414,0.2504,593,0.1643
DB00437,P04083,2166,0.1313,1788,0.1161
DB06154,P19105,282,0.3916,278,0.369
DB00222,O95342,26,0.6936,16,0.7917
DB00561,P42685,675,0.2255,374,0.2477
DB02638,Q71U36,498,0.2271,298,0.2205
DB05630,P05165,1245,0.2681,1473,0.1877
DB06410,P29474,2626,0.0367,2545,0.0229
DB01378,P24298,1382,0.2164,1218,0.1797
DB09418,P08100,955,0.2636,553,0.2989
DB00190,P11217,212,0.3549,433,0.212
DB11588,P00326,293,0.3725,19,0.627
DB00158,Q13564,1301,0.1655,1208,0.1477
DB09116,P16615,292,0.3816,623,0.2566
DB11136,P10412,386,0.3406,547,0.2731
DB00007,Q01082,1293,0.1678,916,0.1451
DB11611,P08913,24,0.739,838,0.1504
DB00883,Q15759,2618,0.0305,2647,0.0046
DB01095,Q14833,629,0.2375,427,0.2135
DB00446,O75533,1722,0.1719,2001,0.1029
DB00130,P20823,222,0.7598,212,0.8237
DB08908,Q9Y6L7,1500,0.2124,1560,0.158
DB00513,P05162,512,0.4864,527,0.446
DB00152,P23246,1809,0.1655,1820,0.1129
DB04838,P28476,2223,0.1295,189,0.4114
DB00552,Q8N0U8,2108,0.1184,2172,0.0819
DB01180,P45954,1906,0.1326,2077,0.0763
DB09148,P51149,2226,0.1208,1945,0.0915
DB00770,Q15858,2241,0.073,2511,0.0157
DB04564,Q96LZ3,1453,0.2261,1528,0.1599
DB11641,P15144,822,0.1966,1048,0.1216
DB00987,Q9NR33,96,0.6569,110,0.6418
DB14527,P60900,983,0.2794,1170,0.2069
DB11560,P29973,643,0.2242,610,0.1751
DB00206,P51843,672,0.212,876,0.1315
DB05018,P32320,52,0.6937,130,0.5643
DB12887,Q14289,75,0.6108,113,0.5472
DB11660,Q9UNK4,40,0.5371,57,0.4622
DB04465,O95864,1410,0.2319,1231,0.2169
DB01216,P04732,381,0.3199,1208,0.1319
DB00307,Q5JPH6,1726,0.1434,2607,0.0477
DB09030,P06576,1684,0.1296,2100,0.0715
DB00855,Q9NS18,259,0.6285,479,0.5272
DB05812,P00813,2420,0.1003,1924,0.0848
DB01092,P30838,749,0.2978,794,0.2236
DB00900,P82251,2209,0.126,1982,0.1009
DB00641,Q8IZS8,194,0.3425,211,0.2933
DB01083,P04839,1617,0.1985,1615,0.1375
DB00565,Q16620,562,0.2203,702,0.1542
DB00551,O95255,2247,0.0619,2331,0.0213
DB09257,Q6TGC4,1909,0.1652,2086,0.0955
DB11157,P18847,795,0.2026,797,0.1479
DB09280,O75469,113,0.6267,113,0.5911
DB03585,P23743,1614,0.146,1745,0.0914
DB01113,P49286,675,0.1948,567,0.2171
DB01158,P10644,2095,0.1395,1938,0.0835
